City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Ushuaia,20,AR,1532480400,64,-54.81,-68.31,37.4,4.7
Georgetown,75,GY,1532480400,94,6.8,-58.16,77.0,11.41
Alibag,75,IN,1532478600,83,18.64,72.88,82.4,9.17
San Patricio,92,PY,1532482242,97,-26.98,-56.83,53.79,2.48
Vaini,100,IN,1532482243,98,15.34,74.49,71.97,7.85
Kieta,88,PG,1532482243,100,-6.22,155.63,78.45,3.15
Ahipara,32,NZ,1532482243,85,-35.17,173.16,56.49,10.76
Richards Bay,0,ZA,1532482244,93,-28.77,32.06,54.06,5.84
Esquias,75,HN,1532480280,42,14.73,-87.37,82.4,3.36
Ust-Kulom,80,RU,1532482244,54,61.69,53.69,68.28,4.83
Tuktoyaktuk,20,CA,1532480400,68,69.44,-133.03,69.8,13.87
Mataura,24,NZ,1532482245,83,-46.19,168.86,43.08,4.61
Cape Town,40,ZA,1532480400,93,-33.93,18.42,55.4,5.82
Kapaa,20,US,1532480160,70,22.08,-159.32,85.17,13.87
Sechura,8,PE,1532482029,80,-5.56,-80.82,70.63,13.33
Talnakh,92,RU,1532482246,84,69.49,88.39,48.93,12.21
Nadvoitsy,0,RU,1532482246,73,63.89,34.27,65.04,3.94
Punta Arenas,0,CL,1532480400,80,-53.16,-70.91,35.6,14.99
Arys,0,KZ,1532480400,37,42.43,68.8,71.6,11.18
Zeya,0,RU,1532482247,64,53.74,127.27,72.33,3.94
Tazovskiy,0,RU,1532482247,57,67.47,78.7,71.61,17.25
Turukhansk,56,RU,1532482248,71,65.8,87.96,57.75,2.37
De-Kastri,76,RU,1532482248,84,51.48,140.77,59.1,6.73
Vaasa,0,FI,1532481600,87,63.1,21.62,57.2,2.24
Hilo,75,US,1532480160,69,19.71,-155.08,77.45,9.17
Svetlogorsk,20,RU,1532480400,82,53.14,59.15,59.0,8.95
Hobart,40,AU,1532480400,50,-42.88,147.33,51.8,17.22
Bethel,1,US,1532479980,46,60.79,-161.76,73.4,16.11
Port Alfred,64,ZA,1532482250,100,-33.59,26.89,61.44,5.95
Albany,40,US,1532480100,61,42.65,-73.75,77.68,8.05
Nampula,20,MZ,1532480400,100,-15.12,39.26,60.8,6.93
Carnarvon,8,ZA,1532482251,61,-30.97,22.13,42.72,9.64
Puerto Ayora,20,EC,1532476800,69,-0.74,-90.35,75.2,13.87
Igrim,0,RU,1532482252,54,63.19,64.42,75.12,5.61
Dire,75,ET,1532476800,93,9.18,38.92,57.2,2.24
Butajira,88,ET,1532482252,97,8.12,38.38,51.72,2.59
San Rafael,0,AR,1532482253,68,-34.61,-68.33,24.18,4.05
Mahebourg,40,MU,1532480400,64,-20.41,57.7,71.6,11.41
Thompson,90,CA,1532480400,93,55.74,-97.86,51.8,12.75
Josefina,44,PH,1532482254,71,8.21,123.54,86.91,3.71
Mar del Plata,36,AR,1532482254,67,-46.43,-67.52,42.27,6.4
Half Moon Bay,90,US,1532480400,93,37.46,-122.43,75.31,13.87
Barrow,0,AR,1532482255,77,-38.31,-60.23,31.74,9.75
New Norfolk,40,AU,1532480400,50,-42.78,147.06,51.8,17.22
Rikitea,92,PF,1532482256,97,-23.12,-134.97,75.48,12.66
Denpasar,75,ID,1532478600,69,-8.65,115.22,78.8,4.7
East London,12,ZA,1532482256,96,-33.02,27.91,69.27,14.23
Hermanus,76,ZA,1532482257,95,-34.42,19.24,52.98,2.93
